"依年齡別分
by age","男
Male
(歲)","女
Female
(歲)","總計
Both
(歲)"
at age 0,76.4 ,82.8 ,79.5 
at age 40,38.2 ,43.9 ,41.0 
at age 60,21.6 ,25.4 ,23.5 
at age 65,17.8 ,21.1 ,19.4 
at age 80,8.7 ,10.1 ,9.4 
